group,method,graph_valid,unique,novelty,vun,degree_mmd,rel_components_w1,lcc_w1,fanout_tv
Generic graph,AutoGraph-labeled,0.994140625,1.0,1.0,0.994140625,0.06006288109379787,17.534774190059085,0.007610330678522127,0.37414276115102507
Generic graph,G2PT-labeled,0.9970703125,1.0,1.0,0.9970703125,0.07437600267239297,3.3027118304792364,0.018846547007808388,0.37393105761521594
Generic graph,DiGress-full,1.0,1.0,1.0,1.0,0.32249892920424905,0.949651773635401,0.007856179721665316,0.5970263111375118
ELDA object,Frequency sampler,0.921875,1.0,1.0,0.921875,0.697259633139675,0.6782856787839038,0.4693816885710551,0.355821366977687
ELDA object,ELDA_Unconstrained,0.001953125,1.0,1.0,0.001953125,0.707312057211513,1.0266107017976316,0.10045861420751101,0.19584527402801558
ELDA object,ELDA_Syntax,0.1552734375,1.0,1.0,0.1552734375,0.1396459850284334,0.11471112895702948,0.08568743832946114,0.08601372389908366
ELDA object,ELDA,1.0,1.0,1.0,1.0,0.05403763953877094,0.16703796957880276,0.01233204292913238,0.02887728069847979
